datasetid,title,description,theme,keywords,license,license_url,languages,metadata_languages,timezone,modified,modified_updates_on_metadata_change,modified_updates_on_data_change,data_processed,metadata_processed,geographic_reference,geographic_reference_auto,territory,geometry_types,publisher,refs,records_count,attributions,federated,cycle,periodicity,is_finalzed
prixnc,Prix.nc,"<p>Dans le cadre de la lutte contre la vie chère, le gouvernement de la Nouvelle-Calédonie a souhaité mettre à la disposition des consommateurs un outil d’information sur les prix à la consommation avec la création du site internet: <a href=""https://prix.nc/"" target=""_blank"">prix.nc</a>.
<br/>Les missions du site internet ont pour objet la diffusion à grande échelle, auprès des consommateurs, de l’ensemble des prix des produits et prestations pratiqués en Nouvelle-Calédonie.
<br/>La concurrence étant un des éléments essentiels de la régulation des marchés, une des missions sous-jacentes du site est de promouvoir la concurrence en donnant aux consommateurs et aux professionnels les moyens de faire jouer la concurrence par les prix.
</p>
<p>Les données publiées sur le site <a href=""https://prix.nc/"" target=""_blank"">prix.nc</a> sont accessibles au travers de l'API publique suivante: <a href=""https://prix.nc/api/v1/swagger-obsprix.html"" target=""_blank"">https://prix.nc/api/v1/swagger-obsprix.html</a></p>","Économie, Emploi","prix,consommation,vie chere,achat,comparaison,vente,nc,prixnc",Licence Ouverte v2.0,https://www.etalab.gouv.fr/wp-content/uploads/2018/11/open-licence.pdf,fr,fr,,2021-07-19 01:57:12,false,true,2021-07-19 01:57:12,2023-08-28 11:15:17.329,fr_60_988,true,Nouvelle-Calédonie,,Gouvernement de la Nouvelle-Calédonie,https://prix.nc/api/v1/swagger-obsprix.html,0,Direction des Affaires Économiques (DAE),false,,,false
offre-de-transport-du-reseau-taneo,Offre de transport du réseau Tanéo,"<p>Ce jeu de données correspond aux horaires théoriques de transport public du réseau urbain Tanéo.</p>

<p>Géré par le <a href=""https://www.smtu.nc/"" target=""_blank"">Syndicat Mixte des Transports Urbains du Grand Nouméa (SMTU)</a>, le réseau <a href=""https://www.taneo.nc/"" target=""_blank"">Tanéo</a>  assure les transports publics de l’agglomération du Grand-Nouméa, qui regroupe les communes de Dumbéa, du Mont-Dore, de Nouméa et de Païta.</p>

<p>Les fichiers GTFS des lots 1 et 2 du réseau Tanéo sont disponibles en téléchargement en pièce jointe ci-dessous.</p>

<p>Le fichier <b>gtfs-lot1-20230213-20231224.zip</b> couvre la période du 2023-02-13 au 2023-12-24. </p>
<ul><li>modes de transport : bus<br/></li><li>réseaux : Carsud, Néobus</li><li>nombre de stops (stop points) : 459</li><li>nombre de zones d'arrêts (stop areas) : 242</li></ul>
<p>Le fichier <b>gtfs-lot2-20230213-20231231.zip</b> couvre la période du 2023-02-13 au 2023-12-31. </p><ul><li>mode de transport : bus<br/></li><li>réseau : Tanéo lot 2</li><li>nombre de stops (stop points) : 615</li><li>nombre de zones d'arrêts (stop areas) : 328</li></ul>","Transport, Mobilité","taneo,neobus,horaire,gtfs,smtu,transport,urbains,bus,stop,arret,montdore,paita",Licence Ouverte v2.0,https://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf,fr,fr,,2023-02-12 13:00:00,false,false,2020-10-05 22:56:56,2023-02-26 21:57:52.994,fr_60_988,true,Nouvelle-Calédonie,,Syndicat Mixte des Transports Urbains du Grand Nouméa,https://www.taneo.nc/plan-et-horaires/,0,Syndicat Mixte des Transports Urbains du Grand Nouméa,false,Finalisé,Annuelle,true
sempex_202007,SEMPEX Prix des médicaments (Juillet 2020),"<p>Le SEMPEX est la base de données des prix des médicaments bénéficiant d'une autorisation de mise sur le marché en Nouvelle-Calédonie.</p><p>Vous pouvez en télécharger la dernière version directement ici.</p><p><span style=""font-weight: bolder;"">Ceci est la version qui était en vigueur au mois de Juillet 2020.</span><br/></p><p>En pièce jointe de ce jeu de données, vous trouverez:</p><ul><li>Le fichier XML du SEMPEX</li><li>Le calendrier des mises à jour à venir<br/></li></ul><p>Pour accéder aux fichiers historisés: <a href=""ftp://ftp.gouv.nc/sempex/historique/"" target=""_blank"">ftp://ftp.gouv.nc/sempex/historique/</a></p>","Santé, Social, Handicap","medicament,pharmacie,dass",Licence Ouverte v2.0,https://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf,fr,fr,,2020-07-20 15:59:00,false,false,2020-08-24 02:15:59,2020-08-24 02:16:00.727,world_fr,true,France,,Gouvernement de la Nouvelle-Calédonie,ftp://ftp.gouv.nc/sempex/,55124,Direction des Affaires Sanitaires et Sociales (DASS),false,,,false
reussite_brevet_par_college,Réussite au diplôme national du brevet par collège,"<p>
Ce jeu de données présente, depuis 2019, les résultats des candidats de statut scolaire au diplôme national du brevet selon la série et le collège. </p>

<p> 
Abréviations utilisées :
</p>
<ul>
<li><span style=""font-weight:bold"">Mention AB </span>: assez bien </li>
<li><span style=""font-weight:bold"">Mention B </span>: bien </li>
<li><span style=""font-weight:bold"">Mention TB</span> : très bien</li>
<ul>
</ul></ul>","Éducation, Formation, Recherche","eleve,college,taux de reussite,diplome national du brevet,DNB,mention,vr,reussite,secondaire,admis",Licence Ouverte v2.0,https://www.etalab.gouv.fr/wp-content/uploads/2018/11/open-licence.pdf,fr,fr,,2023-06-23 04:33:39,false,true,2023-06-23 04:33:39,2023-06-23 04:33:39.469,,false,,,Vice-rectorat de la Nouvelle-Calédonie,https://www.ac-noumea.nc/spip.php?rubrique13,356,Vice-rectorat de la Nouvelle-Calédonie,false,,,false
sempex_202002,SEMPEX Prix des médicaments (Février 2020),"<p>Le SEMPEX est la base de données des prix des médicaments bénéficiant d'une autorisation de mise sur le marché en Nouvelle-Calédonie.</p><p><b>Ceci est la version qui était en vigueur au mois de Février 2020.</b></p><p>En pièce jointe de ce jeu de données, vous trouverez:</p><ul><li>Le fichier XML du SEMPEX</li><li>Le calendrier des mises à jour à venir<br/></li></ul><p>Pour accéder aux fichiers historisés: <a href=""ftp://ftp.gouv.nc/sempex/historique/"" target=""_blank"">ftp://ftp.gouv.nc/sempex/historique/</a></p>","Santé, Social, Handicap","sempex,medicament,prix,pharmacie,dass",Licence Ouverte v2.0,https://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf,fr,fr,,2020-02-08 13:18:00,false,false,2020-04-07 23:26:29,2020-07-29 11:46:18.101,world_fr,true,France,,Gouvernement de la Nouvelle-Calédonie,ftp://ftp.gouv.nc/sempex/,51243,Direction des Affaires Sanitaires et Sociales (DASS),false,,,false
carriere-des-fonctionnaires-de-la-nouvelle-caledonie-et-des-communes-depuis-2000,Carrière des fonctionnaires de la Nouvelle-Calédonie et des communes depuis 2000,"<p>Ce jeu de données présente le nombre de fonctionnaires par type (Fonctionnaire commune / Fonctionnaire Nouvelle-Calédonie), catégorie, cadre, corps, échelle et position statutaire, depuis 2000.

<br/></p>","Institutions, Administrations,Économie, Emploi","carriere,fonctionnaire,DRH,DRHFPNC,categorie,cadre,corps,echelle,fonction publique",Licence Ouverte v2.0,https://www.etalab.gouv.fr/wp-content/uploads/2018/11/open-licence.pdf,fr,fr,,2023-08-29 03:40:20,false,true,2023-08-29 03:40:20,2023-08-29 03:40:20.927,fr_60_988,true,Nouvelle-Calédonie,,Gouvernement de la Nouvelle-Calédonie,https://drhfpnc.gouv.nc/,9464,Direction des Ressources Humaines et de la Fonction Publique de Nouvelle-Calédonie (DRHFPNC),false,,,false
recensement-de-la-population-2019-individus-nc,Recensement de la population 2019 – INDIVIDUS - Nouvelle-Calédonie,"<p>Ce jeu de données est issu du recensement de la population de Nouvelle-Calédonie de 2019.</p>
<b>Il présente des données individuelles anonymisées, à l'échelle de la Nouvelle-Calédonie, déclinées en 43 variables</b>, sur les thèmes suivants : 
<ul>
<li>les caractéristiques démographiques des individus</li>
<li>le type de ménage </li>
<li>le niveau de diplôme et de formation</li>
<li>l’emploi et la situation d’activité</li>
<li>les modes de transport</li>
</ul>
<p>Le <b>dictionnaire des variables</b> correspondantes est disponible en pièce jointe de ce jeu de données <i>(Voir le fichier <b>Documentation_RP2019_Individus OD.pdf</b>)</i>.

</p><p><b>Ce jeu de données anonymisées permet aux utilisateurs avertis un usage personnalisé des données du recensement de la population :</b>
</p><ul>
<li>analyses exploratoires de données </li>
<li>modélisation des comportements </li>
<li>tabulation sur une sous-population particulière</li>
</ul>
<p>Toutefois, en application de l’arrêté du 10 septembre 2021 relatif à la diffusion des résultats du recensement de la population de Nouvelle-Calédonie de 2019, les lieux d’habitation et de travail que ces fichiers contiennent ne sont donnés qu’au niveau de localisation de la province. En outre, ces fichiers ne comportent pas les données des questions 6, 7 et 8 du bulletin individuel relatives à la communauté et à la tribu d’appartenance des personnes.
</p>

<p>Le <a href=""https://data.gouv.nc/explore/dataset/rp-2019-logements/"" target=""_blank"">jeu de données du Recensement de la population 2019 – LOGEMENTS</a> complète le présent jeu de données. Il est possible de lier les deux jeux de données en utilisant la variable commune aux deux fichiers <i>« Numéro anonymisé du logement (IDLOG) »</i>. Les individus pour lesquels la variable <i>« IDLOG »</i> n’est pas renseignée ont été recensés au sein d’une communauté au sens du recensement.<b><sup>(1)</sup></b></p>

<p><b>(1)</b> <i> Au sens du recensement, une communauté est un ensemble de locaux d’habitation relevant d’une même autorité gestionnaire et dont les habitants partagent à titre habituel un mode de vie commun. La population de la communauté comprend les personnes qui résident dans la communauté, à l’exception de celles résidant dans des logements de fonction. Les catégories de communautés sont : 
</i></p><ul><i>
<li>Les services de moyen ou de long séjour des établissements publics ou privés de santé, les établissements sociaux de moyen et long séjour, les maisons de retraite, les foyers et résidences sociales ou assimilés ;</li>
<li>Les communautés religieuses ; </li>
<li>Les casernes, quartiers, bases ou camps militaires ou assimilés ; </li>
<li>Les établissements hébergeant des élèves ou des étudiants, y compris les établissements militaires d’enseignement ;</li>
<li>Les établissements pénitentiaires ; </li>
<li>Les établissements sociaux de court séjour ; </li>
<li>Les autres communautés.</li>
</i></ul>
<br/>
<p>
Le recensement est effectué tous les 5 ans par l'Institut National de la Statistique et des Études Économiques (Insee) en liaison avec l'Institut de la Statistique et des Études Économiques (Isee) de la Nouvelle-Calédonie, et avec la collaboration des communes de la Nouvelle-Calédonie.
</p>
<p>
<b><u>Cadre juridique :</u></b>
<b>Les informations issues du recensement sont protégées par deux lois :</b>
</p><ul>
<li>La <a href=""https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000000886460"" target=""_blank"">loi n°78-17 du 6 janvier 1978 modifiée relative à l'informatique, aux fichiers et aux libertés</a>, qui est applicable au traitement des informations recueillies lors du recensement. Ce traitement est encadré très étroitement par le <a href=""https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000000595581"" target=""_blank"">décret n° 2003-485 du 5 juin 2003 relatif au recensement de la population</a>, sous le contrôle de la <a href=""https://www.cnil.fr/"" target=""_blank"">Commission nationale de l'informatique et des libertés (Cnil)</a>.</li>
<li>La <a href=""https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000000888573"" target=""_blank"">loi n°51-711 du 7 juin 1951 modifiée sur l'obligation, la coordination et le secret en matière de statistiques</a>, qui impose que toutes les informations collectées soient couvertes par le secret statistique et qui interdit qu’une information permettant l’identification d’un individu ou d’un logement puisse être cédée à une personne physique ou morale. Les déclarations des individus recensés ne peuvent donc jamais être utilisées à des fins de contrôle, ni croisées avec le fichier électoral.</li>
</ul>
<p>L’<b>article 3 de l’arrêté du 10 septembre 2021 relatif à la diffusion des résultats du recensement de la population de Nouvelle-Calédonie de 2019</b>, stipule par ailleurs qu’ <i>« un fichier de données individuelles anonymes et un fichier de logements anonymisés sont cessibles à tout public à partir du site internet de l’Institut de la statistique et des études économiques de Nouvelle-Calédonie. De manière à garantir la confidentialité des données, les lieux d’habitation et de travail (…) que ces fichiers contiennent ne sont donnés qu’au niveau de localisation de la province. Ces fichiers ne comportent pas les données des questions 6, 7 et 8 du bulletin individuel relatives à la communauté et à la tribu d’appartenance des personnes ».</i></p>
<p>Des renseignements individuels plus détaillés, hors données directement identifiantes tels les noms et prénoms, peuvent être communiqués dans les conditions prévues à l’article 4 de l’arrêté susvisé, exclusivement à des fins de statistique publique ou de recherche scientifique ou historique, après avis du <a href=""https://www.comite-du-secret.fr/"" target=""_blank"">comité du secret statistique</a> et accord de l’<a href=""https://www.insee.fr/fr/accueil"" target=""_blank"">Institut national de la statistique et des études économiques (Insee)</a> pris après consultation de l’<a href=""https://www.isee.nc/"" target=""_blank"">Institut de la statistique et des études économiques de Nouvelle-Calédonie (Isee)</a>.</p>
<p>Pour plus d'informations sur le recensement: <a href=""http://www.isee.nc/population/recensement"" target=""_blank"">http://www.isee.nc/population/recensement</a>
<br/>
</p>","Population, Société,Économie, Emploi,Éducation, Formation, Recherche,Transport, Mobilité","recensement,2019,rp,population,habitant,province,sud,PSUD,provinces,PIL,PNORD,NC,nc,nouvelle-caledonie",Licence Ouverte v2.0,https://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf,fr,fr,,2022-06-16 22:21:00,true,true,2022-06-16 22:21:00,2022-06-16 22:21:00.424,,false,,,Institut de la statistique et des études économiques,https://www.isee.nc/population/recensement,271407,Institut de la statistique et des études économiques (ISEE),false,,,false
sempex_202003,SEMPEX Prix des médicaments (Mars 2020),"<p>Le SEMPEX est la base de données des prix des médicaments bénéficiant d'une autorisation de mise sur le marché en Nouvelle-Calédonie.</p><p><b>Ceci est la version qui était en vigueur au mois de Mars 2020.</b></p><p>En pièce jointe de ce jeu de données, vous trouverez:</p><ul><li>Le fichier XML du SEMPEX</li><li>Le calendrier des mises à jour à venir<br/></li></ul><p>Pour accéder aux fichiers historisés: <a href=""ftp://ftp.gouv.nc/sempex/historique/"" target=""_blank"">ftp://ftp.gouv.nc/sempex/historique/</a></p>","Santé, Social, Handicap","sempex,medicament,prix,pharmacie,dass",Licence Ouverte v2.0,https://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf,fr,fr,,2020-03-05 00:00:00,false,false,2020-07-27 02:10:20,2020-07-29 11:46:06.168,world_fr,true,France,,Gouvernement de la Nouvelle-Calédonie,ftp://ftp.gouv.nc/sempex/,51927,Direction des Affaires Sanitaires et Sociales (DASS),false,,,false
population-par-groupe-decennal-recensement-2014,Population de Nouvelle-Calédonie par groupe décennal (Recensement 2014),"<p></p><p>Ce jeu de donnée est issu du recensement de la population de Nouvelle-Calédonie en 2014.</p><p>Il présente la population totale, selon :
</p><ul>
<li>la commune</li>
<li>le genre</li>
<li>le groupe d'âge décennal</li>
</ul>
Le recensement est effectué par l'Institut National de la Statistique et des Etudes Economiques (INSEE) en liaison avec l'Institut de la Statistique et des Etudes Economiques (ISEE) de la Nouvelle-Calédonie, et avec la collaboration des communes de la Nouvelle-Calédonie.<p></p>
<p>Pour plus d'informations sur le recensement:
<a href=""http://www.isee.nc/population/recensement"" target=""_blank"">http://www.isee.nc/population/recensement</a>
<br/>
</p>
","Population, Société","recensement,2014,population,habitant,habitants,commune,genre,age,homme,femme",Licence Ouverte v2.0,https://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf,fr,fr,,2020-01-20 23:49:27,false,false,2020-04-08 02:27:41,2020-06-18 09:02:22.039,world_fr,true,France,,Institut de la statistique et des études économiques,http://www.isee.nc/component/phocadownload/category/193-recensement?download=1442:rp-2014-population-logement-menages-communes,594,Institut de la statistique et des études économiques (ISEE),false,,,false
sempex_201912,SEMPEX Prix des médicaments (Décembre 2019),"<p>Le SEMPEX est la base de données des prix des médicaments bénéficiant d'une autorisation de mise sur le marché en Nouvelle-Calédonie.</p><p><b>Ceci est la version qui était en vigueur au mois de Décembre 2019.</b></p><p>En pièce jointe de ce jeu de données, vous trouverez:</p><ul><li>Le fichier XML du SEMPEX</li><li>Le calendrier des mises à jour à venir<br/></li></ul><p>Pour accéder aux fichiers historisés: <a href=""ftp://ftp.gouv.nc/sempex/historique/"" target=""_blank"">ftp://ftp.gouv.nc/sempex/historique/</a></p>","Santé, Social, Handicap","medicament,pharmacie,dass",Licence Ouverte v2.0,https://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf,fr,fr,,2019-12-08 00:00:00,false,false,2020-01-19 22:13:40,2021-07-06 21:28:54.728,world_fr,true,France,,Gouvernement de la Nouvelle-Calédonie,ftp://ftp.gouv.nc/sempex/,48361,Direction des Affaires Sanitaires et Sociales (DASS),false,,,false
