dataset_id,un_stats_sdg_goal_code
aires-protegees-du-gouvernement-de-la-nouvelle-caledonie,2
aires-protegees-du-gouvernement-de-la-nouvelle-caledonie,12
aires-protegees-du-gouvernement-de-la-nouvelle-caledonie,14
aires-protegees-du-gouvernement-de-la-nouvelle-caledonie,15
aires-protegees-en-province-nord,2
aires-protegees-en-province-nord,12
aires-protegees-en-province-nord,14
aires-protegees-en-province-sud,2
aires-protegees-en-province-sud,13
aires-protegees-en-province-sud,14
ambulances,3
ambulances,11
amenagements-cotiers,9
amenagements-cotiers,11
amenagements-cotiers,13
amenagements-cotiers,15
antennes-medico-psychologiques-du-chs-et-permanences-decoute-psychologique,3
antennes-medico-psychologiques-du-chs-et-permanences-decoute-psychologique,11
antennes-medico-psychologiques-du-chs-et-permanences-decoute-psychologique,16
autorisations_importations_inspection_pharmacie_depuis_2008,3
avp-province-sud,8
avp-province-sud,9
base-de-donnees-routieres-bdroute-nc-au-format-geodatabase,9
bassins-versants-limnimetres0,15
bornes-de-recharge-pour-vehicules-electriques0,7
bornes-de-recharge-pour-vehicules-electriques0,9
bornes-de-recharge-pour-vehicules-electriques0,11
bornes-de-recharge-pour-vehicules-electriques0,13
cadres-irh-inventaire-des-ressources-hydrauliques0,15
captages-deau0,6
captages-deau0,15
carroyage-dfci-defense-de-la-foret-contre-les-incendies-au-format-geodatabase0,13
carroyage-dfci-defense-de-la-foret-contre-les-incendies-au-format-geodatabase0,15
cartographie-dynamique-du-plan-durbanisme-directeur-2021,11
catalogue-outils-sensibilisation-eau,6
catalogue-outils-sensibilisation-eau,9
catalogue-outils-sensibilisation-eau,13
catalogue-outils-sensibilisation-eau,15
centres-de-vaccination-et-vaccinodromes,3
centres-de-vaccination-et-vaccinodromes,4
centres-de-vaccination-et-vaccinodromes,5
centres-de-vaccination-et-vaccinodromes,6
centres-de-vaccination-et-vaccinodromes,10
centres-de-vaccination-et-vaccinodromes,11
centres-de-vaccination-et-vaccinodromes,16
centres-medicaux-sociaux-et-ccas,3
centres-medicaux-sociaux-et-ccas,4
centres-medicaux-sociaux-et-ccas,11
centres-medicaux-sociaux-et-ccas,16
centres-vacances-loisirs-province-sud,3
centres-vacances-loisirs-province-sud,4
centres-vacances-loisirs-province-sud,5
centres-vacances-loisirs-province-sud,10
centres-vacances-loisirs-province-sud,11
centres-vacances-loisirs-province-sud,16
comptage-des-invertebres-de-la-province-des-iles-depuis-2004,13
comptage-des-invertebres-de-la-province-des-iles-depuis-2004,14
comptage-des-invertebres-de-la-province-des-iles-depuis-2004,15
connectivite-a-courte-distance,13
connectivite-a-courte-distance,15
connectivite-a-moyenne-distance,13
connectivite-a-moyenne-distance,15
consommation-stupefiants-depuis-2008,3
consommation-stupefiants-depuis-2008,16
cote-potentiellement-soumise-a-lalea-erosion,13
cote-potentiellement-soumise-a-lalea-erosion,14
cote-potentiellement-soumise-a-lalea-erosion,15
cote-potentiellement-soumise-a-lalea-mouvement-de-terrain,13
cote-potentiellement-soumise-a-lalea-mouvement-de-terrain,14
cote-potentiellement-soumise-a-lalea-mouvement-de-terrain,15
couverture-mobile-theorique-en-nouvelle-caledonie,4
couverture-mobile-theorique-en-nouvelle-caledonie,11
couverture-mobile-theorique-en-nouvelle-caledonie,16
delai-paiement-facture-nc,8
depistage_crc,3
depistage_crc,10
depistage_crc,16
deploiement-de-la-fibre-optique-en-nouvelle-caledonie,4
deploiement-de-la-fibre-optique-en-nouvelle-caledonie,7
deploiement-de-la-fibre-optique-en-nouvelle-caledonie,8
deploiement-de-la-fibre-optique-en-nouvelle-caledonie,9
deploiement-de-la-fibre-optique-en-nouvelle-caledonie,16
