code_officiel_geographique_insee,objectid,nom_commune,code_postal,nom_minuscule,geo_point
98820,1,OUVEA,98814,Ouvéa,"-20.5635967411, 166.562698791"
98823,3,PONERIHOUEN,98823,Ponérihouen,"-21.1311554427, 165.315489001"
98803,9,BOURAIL,98870,Bourail,"-21.5343675972, 165.461729296"
98808,18,HOUAILOU,98816,Houailou,"-21.3301977638, 165.549980506"
98825,19,POUEMBOUT,98825,Pouembout,"-21.1671376293, 165.000992445"
98821,21,PAITA,98889,Païta,"-22.0409714251, 166.316635841"
98819,2,OUEGOA,98821,Ouégoa,"-20.4080641419, 164.465065316"
98810,5,KAALA-GOMEN,98817,Kaala Gomen,"-20.7002383914, 164.51314023"
98815,6,MARE,98828,Maré,"-21.5149539216, 167.970417585"
98833,7,KOUAOUA,98818,Kouaoua,"-21.4583014816, 165.782577263"
98827,10,POYA,98827,Poya,"-21.330606526, 165.210350221"
98805,16,DUMBEA,98835,Dumbéa,"-22.1265462533, 166.493735806"
98824,23,POUEBO,98824,Pouébo,"-20.4141864287, 164.597587596"
98817,24,MONT-DORE,98809,Mont Dore,"-22.275665143, 166.728492627"
98831,25,VOH,98833,Voh,"-20.8689136746, 164.734177582"
98804,27,CANALA,98813,Canala,"-21.5312762038, 165.968968423"
98809,30,ILE DES PINS,98832,Ile des Pins,"-22.6125318129, 167.479871215"
98807,32,HIENGHENE,98815,Hienghène,"-20.7161413323, 164.845422212"
98830,4,TOUHO,98831,Touho,"-20.8179681387, 165.157733005"
98806,8,FARINO,98881,Farino,"-21.6482460288, 165.759219277"
98802,11,BOULOUPARIS,98812,Boulouparis,"-21.8592594576, 166.111898172"
98801,12,BELEP,98811,Belep,"-19.6931445948, 163.650235291"
98812,13,KOUMAC,98850,Koumac,"-20.5033080379, 164.328170615"
98818,14,NOUMEA,98800,Nouméa,"-22.2578002753, 166.450089698"
98813,15,LA FOA,98880,La Foa,"-21.7227271187, 165.880452963"
98826,17,POUM,98826,Poum,"-20.2628853479, 164.147683959"
98829,20,THIO,98829,Thio,"-21.7243812096, 166.256520207"
98811,22,KONE,98859,Koné,"-21.0262616658, 164.90640839"
98828,26,SARRAMEA,98882,Sarraméa,"-21.6223398525, 165.818967339"
98814,28,LIFOU,98820,Lifou,"-20.944988514, 167.238655946"
98832,29,YATE,98834,Yaté,"-22.0835079137, 166.724865703"
98822,31,POINDIMIE,98822,Poindimié,"-20.9483874237, 165.17583923"
98816,33,MOINDOU,98819,Moindou,"-21.6259263224, 165.674933337"
