dataset_id,header
adresse-dumbea,apparten
adresse-dumbea,codevoie
adresse-dumbea,comp_num
adresse-dumbea,geo point
adresse-dumbea,geo shape
adresse-dumbea,gestion
adresse-dumbea,idadrs
adresse-dumbea,idquar
adresse-dumbea,idtronum
adresse-dumbea,info_lts
adresse-dumbea,libelle
adresse-dumbea,libquar
adresse-dumbea,libvoie
adresse-dumbea,livraiso
adresse-dumbea,num_cour
adresse-dumbea,numero
adresse-dumbea,x
adresse-dumbea,y
adresse-dumbea,﻿num_graf
adresse-kaala-gomen,apparten
adresse-kaala-gomen,codevoie
adresse-kaala-gomen,comp_num
adresse-kaala-gomen,geo point
adresse-kaala-gomen,geo shape
adresse-kaala-gomen,gestion
adresse-kaala-gomen,idadrs
adresse-kaala-gomen,idquar
adresse-kaala-gomen,idtronum
adresse-kaala-gomen,info_lts
adresse-kaala-gomen,libelle
adresse-kaala-gomen,libquar
adresse-kaala-gomen,libvoie
adresse-kaala-gomen,livraiso
adresse-kaala-gomen,num_cour
adresse-kaala-gomen,numero
adresse-kaala-gomen,x
adresse-kaala-gomen,y
adresse-kaala-gomen,﻿num_graf
adresse-kone,apparten
adresse-kone,codevoie
adresse-kone,comp_num
adresse-kone,geo point
adresse-kone,geo shape
adresse-kone,gestion
adresse-kone,idadrs
adresse-kone,idquar
adresse-kone,idtronum
adresse-kone,info_lts
adresse-kone,libelle
adresse-kone,libquar
adresse-kone,libvoie
adresse-kone,livraiso
adresse-kone,num_cour
adresse-kone,numero
adresse-kone,x
adresse-kone,y
adresse-kone,﻿num_graf
adresse-montdore,apparten
adresse-montdore,codevoie
adresse-montdore,comp_num
adresse-montdore,geo point
adresse-montdore,geo shape
adresse-montdore,gestion
adresse-montdore,idadrs
adresse-montdore,idquar
adresse-montdore,idtronum
adresse-montdore,info_lts
adresse-montdore,libelle
adresse-montdore,libquar
adresse-montdore,libvoie
adresse-montdore,livraiso
adresse-montdore,num_cour
adresse-montdore,numero
adresse-montdore,x
adresse-montdore,y
adresse-montdore,﻿num_graf
adresse-pouembout,apparten
adresse-pouembout,codevoie
adresse-pouembout,comp_num
adresse-pouembout,geo point
adresse-pouembout,geo shape
adresse-pouembout,gestion
adresse-pouembout,idadrs
adresse-pouembout,idquar
adresse-pouembout,idtronum
adresse-pouembout,info_lts
adresse-pouembout,libelle
adresse-pouembout,libquar
adresse-pouembout,libvoie
adresse-pouembout,livraiso
adresse-pouembout,num_cour
adresse-pouembout,numero
adresse-pouembout,x
adresse-pouembout,y
adresse-pouembout,﻿num_graf
aires-protegees-en-province-nord,acte reglementaire
aires-protegees-en-province-nord,aire (en ha)
aires-protegees-en-province-nord,created_date
aires-protegees-en-province-nord,created_user
aires-protegees-en-province-nord,geo_point_2d
aires-protegees-en-province-nord,geo_shape
aires-protegees-en-province-nord,gestionnaire
aires-protegees-en-province-nord,globalid
aires-protegees-en-province-nord,last_edited_date
aires-protegees-en-province-nord,last_edited_user
aires-protegees-en-province-nord,nom_court
aires-protegees-en-province-nord,objectid
aires-protegees-en-province-nord,perimetre (en m)
aires-protegees-en-province-nord,shape__area
aires-protegees-en-province-nord,shape__length
aires-protegees-en-province-nord,type de zone
aires-protegees-en-province-nord,﻿statut
aires-protegees-en-province-sud,communes
aires-protegees-en-province-sud,geo_point_2d
aires-protegees-en-province-sud,geomsimplify
aires-protegees-en-province-sud,geomstyle
aires-protegees-en-province-sud,libelle
aires-protegees-en-province-sud,ouvert
aires-protegees-en-province-sud,photoprincipale
aires-protegees-en-province-sud,photoprincipale_copyright
aires-protegees-en-province-sud,photoprincipale_id
aires-protegees-en-province-sud,photoprincipale_nom
aires-protegees-en-province-sud,photoprincipale_pathhd
aires-protegees-en-province-sud,photoprincipale_pathvignette
aires-protegees-en-province-sud,photoprincipale_priorite
aires-protegees-en-province-sud,trace
aires-protegees-en-province-sud,type
aires-protegees-en-province-sud,urlpageweb
aires-protegees-en-province-sud,﻿id
antibioresistance-bhre,année
antibioresistance-bhre,nombre de patients-porteurs de bhre
antibioresistance-bhre,﻿type de bhre
atlas-equipements-publics-serail,apparten
atlas-equipements-publics-serail,geo point
atlas-equipements-publics-serail,geo shape
atlas-equipements-publics-serail,gest_eq
atlas-equipements-publics-serail,gestion
atlas-equipements-publics-serail,idadrs
atlas-equipements-publics-serail,ident
atlas-equipements-publics-serail,lib_norme
atlas-equipements-publics-serail,libadrs
atlas-equipements-publics-serail,livraiso
atlas-equipements-publics-serail,quartier
atlas-equipements-publics-serail,theme1
