datasetid,keyword,weight
atlas-equipements-publics-serail,td,880
atlas-equipements-publics-serail,montdore,877
atlas-equipements-publics-serail,mont-dore,867
atlas-equipements-publics-serail,mb,862
atlas-equipements-publics-serail,dumbea,860
atlas-equipements-publics-serail,paita,854
atlas-equipements-publics-serail,universite,843
atlas-equipements-publics-serail,tribu,834
atlas-equipements-publics-serail,tribunal,834
atlas-equipements-publics-serail,theatre,826
atlas-equipements-publics-serail,rain,821
atlas-equipements-publics-serail,terrain,818
atlas-equipements-publics-serail,tennis,811
atlas-equipements-publics-serail,stage,805
atlas-equipements-publics-serail,square,798
atlas-equipements-publics-serail,salle,786
atlas-equipements-publics-serail,nc,780
atlas-equipements-publics-serail,concert,778
atlas-equipements-publics-serail,eau,774
atlas-equipements-publics-serail,mise,765
atlas-equipements-publics-serail,mise a l'eau,765
atlas-equipements-publics-serail,vol,754
atlas-equipements-publics-serail,quai d'apport volontaire,740
atlas-equipements-publics-serail,quai,735
atlas-equipements-publics-serail,gare maritime,721
atlas-equipements-publics-serail,pont,714
atlas-equipements-publics-serail,ponton,714
atlas-equipements-publics-serail,plage,708
atlas-equipements-publics-serail,ab,703
atlas-equipements-publics-serail,ist,694
atlas-equipements-publics-serail,piste cyclable,693
atlas-equipements-publics-serail,velodrome,683
atlas-equipements-publics-serail,piscine,675
atlas-equipements-publics-serail,jeux,670
cellules-sedimentaires-tous-niveaux,bc,667
cellules-sedimentaires-de-niveau-3,bc,667
cellules-sedimentaires-de-niveau-2,bc,667
cellules-sedimentaires-de-niveau-1,bc,667
chenaux-du-lagon,bc,667
apports-sedimentaires-continentaux,bc,667
oblic-cellules-hydrosedimentaires-de-nouvelle-caledonie,bc,667
atlas-equipements-publics-serail,parc,665
installations-classees-pour-lenvironnement-de-nouvelle-caledonie-icpe,bb,664
atlas-equipements-publics-serail,justice,657
installations-classees-pour-lenvironnement-de-nouvelle-caledonie-icpe,monument,654
atlas-equipements-publics-serail,palais,650
vestiges-ruines-industrielles-et-sites-archeologiques,gie,642
zones-especes-envahissantes,gie,642
transects-tortues-vertes,gie,642
sites-dinteret-de-lespace-maritime,gie,642
especes-caracteristiques-tortues-oiseaux-communautes-sous-marines,gie,642
stations-subaquatiques-par-methode,gie,642
installations-classees-pour-lenvironnement-de-nouvelle-caledonie-icpe,sites,641
